timestamp,gesture_id,gesture_label,motion_id,motion_label,landmark_0_x,landmark_0_y,landmark_1_x,landmark_1_y,landmark_2_x,landmark_2_y,landmark_3_x,landmark_3_y,landmark_4_x,landmark_4_y,landmark_5_x,landmark_5_y,landmark_6_x,landmark_6_y,landmark_7_x,landmark_7_y,landmark_8_x,landmark_8_y,landmark_9_x,landmark_9_y,landmark_10_x,landmark_10_y,landmark_11_x,landmark_11_y,landmark_12_x,landmark_12_y,landmark_13_x,landmark_13_y,landmark_14_x,landmark_14_y,landmark_15_x,landmark_15_y,landmark_16_x,landmark_16_y,landmark_17_x,landmark_17_y,landmark_18_x,landmark_18_y,landmark_19_x,landmark_19_y,landmark_20_x,landmark_20_y
2.5916,0,Open,0,Stop,298,719,381,719,443,691,494,657,558,642,374,533,415,436,431,376,442,324,302,523,308,418,308,349,307,295,237,547,224,447,217,387,215,335,181,595,136,541,104,506,80,471
2.6458,0,Open,0,Stop,340,682,424,627,484,560,531,515,580,510,417,425,454,348,470,298,481,256,356,419,360,334,361,280,360,235,299,437,284,362,277,315,271,273,245,479,199,442,167,416,140,389
2.713,0,Open,0,Stop,360,606,436,562,493,500,542,459,594,455,434,371,467,300,484,259,495,227,376,365,379,286,380,241,378,206,322,383,303,315,298,273,294,236,272,420,224,389,191,369,164,347
2.7813,0,Open,0,Stop,366,584,445,548,504,489,551,448,597,443,439,366,474,296,492,254,502,223,383,360,389,280,391,235,391,201,332,375,316,304,311,261,307,226,283,409,239,379,207,356,180,332
2.8493,0,Open,0,Stop,369,582,447,549,508,490,555,446,600,443,443,368,478,299,497,259,509,228,389,361,396,282,400,236,401,200,338,376,323,304,317,260,313,225,290,410,246,375,214,351,188,327
2.9168,0,Open,0,Stop,377,580,453,546,515,488,562,446,608,438,452,369,486,300,504,259,516,227,398,361,404,283,408,236,409,200,347,376,333,306,327,262,324,226,300,409,254,373,222,348,195,323
2.9837,0,Open,0,Stop,389,575,465,540,522,482,567,440,612,434,463,366,498,298,516,257,528,225,409,360,415,283,419,237,419,201,360,374,343,305,337,262,332,227,313,406,266,371,232,344,203,319
3.0516,0,Open,0,Stop,400,572,469,538,518,477,554,429,596,416,476,368,512,301,532,259,544,225,423,360,429,286,432,241,432,204,375,373,358,306,351,262,345,225,329,405,280,366,246,337,218,309
3.1167,0,Open,0,Stop,411,570,467,531,507,480,523,423,522,375,488,380,519,316,534,277,545,241,437,369,436,295,437,250,440,211,391,383,371,314,365,269,366,226,349,414,320,372,312,344,313,316
3.183,0,Open,0,Stop,421,572,476,537,508,476,506,419,481,375,496,380,520,326,528,296,531,289,447,370,435,300,439,270,451,274,404,386,378,319,387,292,407,292,364,418,367,379,391,376,418,393
3.252,1,Close,0,Stop,425,572,482,542,508,473,501,410,481,363,504,398,529,341,535,317,532,325,458,389,452,307,462,290,468,306,415,402,400,322,423,328,440,353,377,429,401,406,427,430,442,463
3.3169,1,Close,0,Stop,435,569,492,542,516,467,504,401,467,360,518,411,542,340,540,349,528,379,469,401,473,311,484,328,486,353,425,409,424,328,444,369,450,407,389,429,423,414,443,450,446,479
3.3838,1,Close,0,Stop,441,571,497,538,523,463,507,400,475,357,528,418,555,346,546,391,531,424,481,410,498,330,499,388,494,412,437,414,454,348,466,407,460,434,399,431,435,418,450,458,443,475
3.4501,1,Close,0,Stop,446,571,502,536,527,462,512,398,482,355,535,419,565,354,558,396,540,428,490,410,508,335,510,389,504,416,448,415,466,359,476,416,470,441,409,431,442,418,456,457,450,471
3.5187,1,Close,0,Stop,447,572,506,535,529,462,516,396,487,352,538,421,569,357,559,397,538,429,494,413,512,338,514,389,506,419,452,418,471,363,482,415,473,440,413,433,451,418,462,454,451,472
3.5838,1,Close,0,Stop,448,574,509,539,534,468,523,400,503,349,538,424,564,356,566,379,551,416,496,415,510,335,515,377,511,412,455,417,473,352,484,398,479,432,417,430,456,405,474,442,473,470
3.6512,0,Open,0,Stop,450,583,511,549,551,488,560,428,570,379,538,406,563,361,579,331,592,311,496,395,501,333,516,301,533,282,453,402,451,337,461,300,475,270,411,424,410,372,414,336,422,304
3.7177,0,Open,0,Stop,455,582,521,556,562,502,596,456,641,445,536,391,577,328,602,284,617,248,484,377,490,295,493,244,492,201,435,387,416,314,407,265,399,223,390,419,350,373,323,343,301,314
3.7846,0,Open,0,Stop,446,587,516,558,570,507,616,473,660,472,528,387,569,323,591,281,606,249,475,375,485,296,488,248,489,210,425,385,411,315,406,270,402,234,379,416,336,378,306,351,283,326
3.8489,0,Open,0,Stop,443,586,511,557,567,508,617,479,663,483,521,382,562,319,584,278,597,246,469,372,479,294,483,248,484,212,419,384,408,313,403,269,400,232,372,417,329,378,299,353,275,328
3.9154,0,Open,0,Stop,439,587,511,558,570,510,621,483,665,491,517,383,558,317,579,277,592,245,465,372,475,293,480,246,481,210,416,385,403,312,398,267,394,230,369,418,325,379,296,354,273,329
3.9857,0,Open,0,Stop,438,589,509,560,569,513,622,488,669,494,516,383,556,316,577,276,591,244,463,372,472,291,475,244,476,209,413,386,400,312,394,267,390,229,365,419,322,380,293,355,269,331
4.0439,0,Open,0,Stop,435,591,507,562,569,515,625,489,673,495,515,384,556,317,576,278,590,246,462,374,471,293,474,246,474,211,411,387,398,314,392,269,389,232,364,420,321,382,292,357,269,332
4.0759,0,Open,0,Stop,435,593,508,563,570,515,625,488,673,494,515,384,556,317,576,276,589,243,461,374,470,293,473,245,473,209,411,388,398,315,392,270,388,232,363,421,320,383,291,358,269,333
4.1106,0,Open,0,Stop,434,594,508,564,570,514,626,487,674,494,514,385,555,317,575,277,589,244,461,375,469,293,473,245,473,209,410,388,397,315,391,269,388,231,363,422,320,384,291,358,268,333
